,city,state_id,lng,lat,Location
340,Yakima,WA,-120.5496,46.5923,"Yakima, WA"
341,Sterling Heights,MI,-83.0305,42.5809,"Sterling Heights, MI"
342,Kent,WA,-122.2129,47.3887,"Kent, WA"
343,Burlington,NC,-79.4686,36.0758,"Burlington, NC"
344,Bellingham,WA,-122.4687,48.7543,"Bellingham, WA"
345,Santa Clara,CA,-121.968,37.3645,"Santa Clara, CA"
346,Racine,WI,-87.8135,42.7274,"Racine, WI"
347,Greenville,NC,-77.3768,35.5956,"Greenville, NC"
348,Stamford,CT,-73.5583,41.1035,"Stamford, CT"
349,Elizabeth,NJ,-74.1912,40.6657,"Elizabeth, NJ"
350,Johnson City,TN,-82.3803,36.3406,"Johnson City, TN"
351,Lynchburg,VA,-79.1909,37.4003,"Lynchburg, VA"
352,Simi Valley,CA,-118.749,34.2663,"Simi Valley, CA"
353,Fort Smith,AR,-94.3695,35.3493,"Fort Smith, AR"
354,Kenosha,WI,-87.8765,42.5864,"Kenosha, WI"
355,South Lyon,MI,-83.6526,42.4614,"South Lyon, MI"
356,Boulder,CO,-105.2523,40.0249,"Boulder, CO"
357,Pearland,TX,-95.3215,29.5585,"Pearland, TX"
358,Berkeley,CA,-122.276,37.8723,"Berkeley, CA"
359,Richardson,TX,-96.7093,32.9717,"Richardson, TX"
360,Redding,CA,-122.365,40.5698,"Redding, CA"
361,Arvada,CO,-105.1511,39.8321,"Arvada, CO"
362,St. George,UT,-113.577,37.077,"St. George, UT"
363,Billings,MT,-108.5524,45.7891,"Billings, MT"
364,Yuba City,CA,-121.6381,39.1357,"Yuba City, CA"
365,Rochester,MN,-92.4778,44.0151,"Rochester, MN"
366,East Los Angeles,CA,-118.1691,34.0326,"East Los Angeles, CA"
367,Leominster,MA,-71.7717,42.5209,"Leominster, MA"
368,Kingsport,TN,-82.5453,36.5224,"Kingsport, TN"
369,Duluth,MN,-92.1392,46.7756,"Duluth, MN"
370,Lehigh Acres,FL,-81.6388,26.612,"Lehigh Acres, FL"
371,Rock Hill,SC,-81.0244,34.9416,"Rock Hill, SC"
372,Gilroy,CA,-121.5855,37.0047,"Gilroy, CA"
373,Cambridge,MA,-71.1185,42.3759,"Cambridge, MA"
374,Sugar Land,TX,-95.6357,29.5935,"Sugar Land, TX"
375,Texas City,TX,-94.9658,29.4128,"Texas City, TX"
376,Iowa City,IA,-91.5303,41.6559,"Iowa City, IA"
377,Saginaw,MI,-83.9501,43.4199,"Saginaw, MI"
378,Chico,CA,-121.8152,39.7575,"Chico, CA"
379,Dover,DE,-75.5203,39.161,"Dover, DE"
380,Norman,OK,-97.3471,35.2335,"Norman, OK"
381,Clearwater,FL,-82.7622,27.9789,"Clearwater, FL"
382,Coeur d'Alene,ID,-116.7935,47.7041,"Coeur d'Alene, ID"
383,Ponce,PR,-66.6198,18.012,"Ponce, PR"
384,Seaside,CA,-121.8191,36.6224,"Seaside, CA"
385,Independence,MO,-94.3501,39.0871,"Independence, MO"
386,West Jordan,UT,-112.0008,40.6024,"West Jordan, UT"
387,Abilene,TX,-99.7384,32.4543,"Abilene, TX"
388,Bloomington,IN,-86.5257,39.1637,"Bloomington, IN"
389,El Monte,CA,-118.0291,34.0739,"El Monte, CA"
390,Carlsbad,CA,-117.2837,33.1247,"Carlsbad, CA"
391,North Charleston,SC,-80.0722,32.9066,"North Charleston, SC"
392,St. Cloud,MN,-94.1718,45.5339,"St. Cloud, MN"
393,Temecula,CA,-117.1315,33.4928,"Temecula, CA"
394,Clovis,CA,-119.6831,36.8278,"Clovis, CA"
395,Meridian,ID,-116.3968,43.6112,"Meridian, ID"
396,Brandon,FL,-82.3,27.9367,"Brandon, FL"
397,Westminster,CO,-105.0624,39.8837,"Westminster, CO"
398,Costa Mesa,CA,-117.9135,33.6667,"Costa Mesa, CA"
399,Monroe,LA,-92.0774,32.5183,"Monroe, LA"
400,Utica,NY,-75.226,43.0961,"Utica, NY"
401,Pompano Beach,FL,-80.1312,26.2428,"Pompano Beach, FL"
402,West Palm Beach,FL,-80.1316,26.7468,"West Palm Beach, FL"
403,Waterloo,IA,-92.3522,42.492,"Waterloo, IA"
404,Everett,WA,-122.1669,47.9525,"Everett, WA"
405,El Centro,CA,-115.5586,32.7867,"El Centro, CA"
406,Santa Fe,NM,-105.9819,35.6619,"Santa Fe, NM"
407,Downey,CA,-118.1312,33.9379,"Downey, CA"
408,Lowell,MA,-71.3217,42.6389,"Lowell, MA"
409,Centennial,CO,-104.8674,39.5926,"Centennial, CO"
410,Elgin,IL,-88.3229,42.0385,"Elgin, IL"
411,Richmond,CA,-122.339,37.9477,"Richmond, CA"
412,Broken Arrow,OK,-95.7809,36.0365,"Broken Arrow, OK"
413,Miami Gardens,FL,-80.2426,25.9433,"Miami Gardens, FL"
414,The Woodlands,TX,-95.5134,30.1738,"The Woodlands, TX"
415,Bend,OR,-121.3087,44.0562,"Bend, OR"
416,Burlington,VT,-73.2314,44.4877,"Burlington, VT"
417,Jurupa Valley,CA,-117.4705,34.001,"Jurupa Valley, CA"
418,Sandy Springs,GA,-84.3703,33.9366,"Sandy Springs, GA"
419,Gresham,OR,-122.4413,45.5023,"Gresham, OR"
420,Lewisville,TX,-96.9823,33.0452,"Lewisville, TX"
421,Hillsboro,OR,-122.9361,45.5272,"Hillsboro, OR"
422,San Buenaventura,CA,-119.2314,34.2741,"San Buenaventura, CA"
423,Jacksonville,NC,-77.3941,34.7288,"Jacksonville, NC"
424,Pottstown,PA,-75.6444,40.2507,"Pottstown, PA"
425,Inglewood,CA,-118.3444,33.9566,"Inglewood, CA"
426,Spring Hill,FL,-82.53,28.4797,"Spring Hill, FL"
427,League City,TX,-95.1087,29.4873,"League City, TX"
428,Eau Claire,WI,-91.4949,44.8199,"Eau Claire, WI"
